rating,reviews,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,latitude,longitude
4.71,64.0,"Mountain view,Valley view,Lake access,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8078, Turkey,1,1,2,0,2,0,40.7454357,30.0112827
0.0,0.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4665, Turkey,2,2,4,0,2,0,36.1993752,29.6413365
4.85,68.0,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free driveway parking on premises,Pets allowed,40"" HDTV with cable/satellite TV,Lift,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5991, Georgia,1,3,4,0,1,0,42.18756,42.9521554
5.0,13.0,"Mountain view,Valley view,Kitchen,Wifi,Free parking on premises,Private pool,42"" HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",11339, Turkey,1,2,4,0,1,0,40.6930538,30.27344
0.0,0.0,"Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6673, Turkey,1,1,2,0,1,0,40.6930538,30.27344
0.0,0.0,"Lake view,Mountain view,Waterfront,Wifi,Dedicated workspace,Free parking on premises,Private pool,HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",14729, Turkey,1,2,2,0,1,0,40.6930538,30.27344
0.0,0.0,"Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",12312, Turkey,1,1,2,0,1,0,36.1993752,29.6413365
0.0,0.0,"Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Indoor fireplace,Hair dryer,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",13655, Turkey,1,2,8,0,1,0,40.800812,38.413815
0.0,0.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washing machine,Dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1747, Vietnam,1,1,2,0,1,0,11.9402416,108.4375758
4.67,3.0,"Kitchen,Wifi,Free parking on premises,Private pool,TV,Air conditioning,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",30486, Thailand,3,6,10,0,4,0,12.60961,102.10447
